playerID,yearID,teamID,inseason,games,rank
sharsbi99,1886,PH4,2,41,6
phillho99,1886,PT1,1,140,2
comisch01,1886,SL4,1,139,1
morrijo01,1886,BSN,1,118,5
ansonca01,1886,CHN,1,126,1
watkibi01,1886,DTN,1,126,2
roweda01,1886,KCN,1,126,7
mutriji99,1886,NY1,1,124,3
wrighha01,1886,PHI,1,119,4
schmegu99,1886,SL5,1,126,6
scanlmi99,1886,WS8,1,82,8
gaffnjo99,1886,WS8,2,43,8
barnibi01,1887,BL2,1,141,3
byrnech99,1887,BR3,1,138,6
williji99,1887,CL3,1,133,8
schmegu99,1887,CN2,1,136,2
kellyjo01,1887,LS2,1,139,4
fergubo01,1887,NY4,1,30,7
orrda01,1887,NY4,2,8,7
cayloop99,1887,NY4,3,100,7
bancrfr99,1887,PH4,1,55,5
masonch01,1887,PH4,2,82,5
comisch01,1887,SL4,1,138,1
kellyki01,1887,BSN,1,95,5
morrijo01,1887,BSN,2,32,5
ansonca01,1887,CHN,1,127,3
watkibi01,1887,DTN,1,127,1
burnhwa99,1887,IN3,1,28,8
thomafr99,1887,IN3,2,29,8
fogelho99,1887,IN3,3,70,8
mutriji99,1887,NY1,1,129,4
wrighha01,1887,PHI,1,128,2
phillho99,1887,PIT,1,125,6
gaffnjo99,1887,WS8,1,126,7
barnibi01,1888,BL2,1,139,5
mcgunbi01,1888,BR3,1,143,2
williji99,1888,CL3,1,64,6
loftuto01,1888,CL3,2,71,6
schmegu99,1888,CN2,1,137,4
roweda01,1888,KC2,1,50,8
barklsa01,1888,KC2,2,58,8
watkibi01,1888,KC2,3,25,8
kellyjo01,1888,LS2,1,39,7
davidmo99,1888,LS2,2,3,7
kerinjo01,1888,LS2,3,7,7
davidmo99,1888,LS2,4,90,7
sharsbi99,1888,PH4,1,137,3
comisch01,1888,SL4,1,137,1
morrijo01,1888,BSN,1,137,4
ansonca01,1888,CHN,1,136,2
watkibi01,1888,DTN,1,94,5
leadlbo99,1888,DTN,2,40,5
spencha99,1888,IN3,1,136,7
mutriji99,1888,NY1,1,138,1
wrighha01,1888,PHI,1,132,3
phillho99,1888,PIT,1,139,6
hewetwa99,1888,WS8,1,40,8
sullite01,1888,WS8,2,96,8
barnibi01,1889,BL2,1,139,5
mcgunbi01,1889,BR3,1,140,1
buckeal99,1889,CL6,1,140,6
schmegu99,1889,CN2,1,141,4
watkibi01,1889,KC2,1,139,7
esterdu01,1889,LS2,1,10,8
wolfji01,1889,LS2,2,65,8
shannda01,1889,LS2,3,58,8
chapmja01,1889,LS2,4,7,8
sharsbi99,1889,PH4,1,138,3
comisch01,1889,SL4,1,141,2
hartji99,1889,BSN,1,133,2
ansonca01,1889,CHN,1,136,3
loftuto01,1889,CL4,1,136,6
bancrfr99,1889,IN3,1,68,7
glassja01,1889,IN3,2,67,7
mutriji99,1889,NY1,1,131,1
wrighha01,1889,PHI,1,130,4
phillho99,1889,PIT,1,71,5
dunlafr01,1889,PIT,2,17,5
hanlone01,1889,PIT,3,46,5
morrijo01,1889,WS8,1,51,8
irwinar01,1889,WS8,2,76,8
barnibi01,1890,BL3,1,38,6
kenneji99,1890,BR4,1,100,9
